opendate,first_case,last_case
2021-04-03,9762,9878
2021-04-02,9659,9761
2021-04-01,9566,9658
2021-03-31,9455,9565
2021-03-30,9368,9454
2021-03-29,9326,9367
2021-03-28,9258,9325
2021-03-27,9160,9257
2021-03-26,9071,9159
2021-03-25,8994,9070
2021-03-24,8926,8993
2021-03-23,8851,8925
2021-03-22,8833,8850
2021-03-21,8809,8832
2021-03-20,8743,8808
2021-03-19,8699,8742
2021-03-18,8656,8698
2021-03-17,8621,8655
2021-03-16,8593,8620
2021-03-15,8577,8592
2021-03-14,8554,8576
2021-03-13,8524,8553
2021-03-12,8486,8523
2021-03-11,8457,8485
2021-03-10,8429,8456
2021-03-09,8406,8428
2021-03-08,8399,8405
2021-03-07,8381,8398
2021-03-06,8352,8380
2021-03-05,8338,8351
2021-03-04,8310,8337
2021-03-03,8292,8309
2021-03-02,8275,8291
2021-03-01,8268,8274
2021-02-28,8253,8267
2021-02-27,8234,8252
2021-02-26,8211,8233
2021-02-25,8196,8210
2021-02-24,8184,8195
2021-02-23,8167,8183
2021-02-22,8157,8166
2021-02-21,8150,8156
2021-02-20,8137,8149
2021-02-19,8119,8136
2021-02-18,8101,8118
2021-02-17,8080,8100
2021-02-16,8067,8079
2021-02-15,8062,8066
2021-02-14,8043,8061
2021-02-13,8032,8042
2021-02-12,8016,8031
2021-02-11,8000,8015
2021-02-10,7973,7999
2021-02-09,7954,7972
2021-02-08,7914,7953
2021-02-07,7887,7913
2021-02-06,7855,7886
2021-02-05,7814,7854
2021-02-04,7756,7813
2021-02-03,7696,7755
2021-02-02,7650,7695
2021-02-01,7615,7649
2021-01-31,7576,7614
2021-01-30,7495,7575
2021-01-29,7432,7494
2021-01-28,7334,7431
2021-01-27,7203,7333
2021-01-26,7119,7202
2021-01-25,7078,7118
2021-01-24,7002,7077
2021-01-23,6923,7001
2021-01-22,6820,6922
2021-01-21,6752,6819
2021-01-20,6641,6751
2021-01-19,6528,6640
2021-01-18,6461,6527
2021-01-17,6372,6460
2021-01-16,6242,6371
2021-01-15,6168,6241
2021-01-14,6098,6167
2021-01-13,6032,6097
2021-01-12,6005,6031
2021-01-11,5964,6004
2021-01-10,5890,5963
2021-01-09,5820,5889
2021-01-08,5738,5819
2021-01-07,5672,5737
2021-01-06,5600,5671
2021-01-05,5547,5599
2021-01-04,5511,5546
2021-01-03,5484,5510
2021-01-02,5472,5483
2021-01-01,5424,5471
2020-12-31,5366,5423
2020-12-30,5319,5365
2020-12-29,5279,5318
2020-12-28,5258,5278
2020-12-27,5228,5257
2020-12-26,5192,5227
2020-12-25,5151,5191
