opendate,first_case,last_case
2021-07-12,21478,21505
2021-07-11,21449,21477
2021-07-10,21384,21447
2021-07-09,21329,21383
2021-07-08,21294,21328
2021-07-07,21236,21293
2021-07-06,21174,21235
2021-07-05,21146,21173
2021-07-04,21112,21145
2021-07-03,21036,21111
2021-07-02,20975,21035
2021-07-01,20912,20974
2021-06-30,20845,20911
2021-06-29,20761,20844
2021-06-28,20736,20760
2021-06-27,20675,20735
2021-06-26,20601,20674
2021-06-25,20519,20600
2021-06-24,20457,20518
2021-06-23,20361,20456
2021-06-22,20263,20360
2021-06-21,20230,20262
2021-06-20,20169,20229
2021-06-19,20072,20168
2021-06-18,19986,20071
2021-06-17,19889,19985
2021-06-16,19774,19888
2021-06-15,19667,19773
2021-06-14,19613,19666
2021-06-13,19509,19612
2021-06-12,19352,19508
2021-06-11,19207,19351
2021-06-10,19041,19206
2021-06-09,18867,19040
2021-06-08,18708,18866
2021-06-07,18604,18707
2021-06-06,18421,18603
2021-06-05,18160,18420
2021-06-04,17913,18159
2021-06-03,17669,17912
2021-06-02,17372,17668
2021-06-01,17149,17371
2021-05-31,17007,17148
2021-05-30,16736,17006
2021-05-29,16401,16735
2021-05-28,16088,16400
2021-05-27,15848,16087
2021-05-26,15546,15847
2021-05-25,15290,15545
2021-05-24,15186,15289
2021-05-23,15030,15185
2021-05-22,14799,15029
2021-05-21,14592,14798
2021-05-20,14394,14591
2021-05-19,14191,14393
2021-05-18,14023,14190
2021-05-17,13964,14022
2021-05-16,13886,13963
2021-05-15,13726,13885
2021-05-14,13592,13725
2021-05-13,13447,13591
2021-05-12,13357,13446
2021-05-11,13225,13356
2021-05-10,13189,13224
2021-05-09,13086,13188
2021-05-08,12993,13085
2021-05-07,12911,12992
2021-05-06,12872,12910
2021-05-05,12809,12871
2021-05-04,12776,12808
2021-05-03,12719,12775
2021-05-02,12662,12718
2021-05-01,12457,12661
2021-04-30,12498,12556
2021-04-29,12422,12497
2021-04-28,12359,12421
2021-04-27,12273,12358
2021-04-26,12229,12272
2021-04-25,12163,12228
2021-04-24,12046,12162
2021-04-23,11961,112045
2021-04-22,11841,11960
2021-04-21,11746,11840
2021-04-20,11631,11745
2021-04-19,11583,11630
2021-04-18,11491,11582
2021-04-17,11323,11490
2021-04-16,11221,11323
2021-04-15,11087,11220
2021-04-14,10950,11086
2021-04-13,10825,10949
2021-04-12,10788,10824
2021-04-11,10695,10787
2021-04-10,10418,10694
2021-04-09,10417,10548
2021-04-08,10278,10417
2021-04-07,10123,10277
2021-04-06,10025,10122
2021-04-05,9975,10024
2021-04-04,9879,9974
