opendate,first_case,last_case
2022-11-05,1002017,1002073
2022-11-04,1001997,1002016
2022-11-03,1001949,1001996
2022-11-02,1001884,1001948
2022-11-01,1001830,1001883
2022-10-31,1001812,1001829
2022-10-30,1001772,1001811
2022-10-29,1001709,1001771
2022-10-28,1001669,1001708
2022-10-27,1001620,1001668
2022-10-26,1001562,1001619
2022-10-25,1001493,1001561
2022-10-24,1001469,1001492
2022-10-23,1001421,1001468
2022-10-22,1001354,1001420
2022-10-21,1001303,1001353
2022-10-20,1001272,1001302
2022-10-19,1001200,1001271
2022-10-18,1001148,1001199
2022-10-17,1001137,1001147
2022-10-16,1001106,1001136
2022-10-15,1001050,1001105
2022-10-14,1001013,1001049
2022-10-13,1000975,1001012
2022-10-12,1000909,1000974
2022-10-11,1000888,1000908
2022-10-10,1000869,1000887
2022-10-09,1000827,1000868
2022-10-08,1000773,1000826
2022-10-07,1000728,1000772
2022-10-06,1000684,1000727
2022-10-05,1000606,1000683
2022-10-04,1000531,1000605
2022-10-03,1000499,1000530
2022-10-02,1000440,1000498
2022-10-01,1000370,1000439
2022-09-30,1000255,1000369
2022-09-29,1000165,1000254
2022-09-28,1000079,1000164
2022-09-27,1000001,1000078
