opendate,first_case,last_case
2020-12-24,5103,5150
2020-12-23,5066,5102
2020-12-22,5045,5065
2020-12-21,5024,5044
2020-12-20,5002,5023
2020-12-19,4982,5001
2020-12-18,4950,4981
2020-12-17,4932,4949
2020-12-16,4896,4931
2020-12-15,4875,4895
2020-12-14,4856,4874
2020-12-13,4836,4855
2020-12-12,4785,4835
2020-12-11,4752,4784
2020-12-10,4706,4751
2020-12-09,4663,4705
2020-12-08,4635,4662
2020-12-07,4623,4634
2020-12-06,4584,4622
2020-12-05,4543,4583
2020-12-04,4496,4542
2020-12-03,4447,4495
2020-12-02,4400,4446
2020-12-01,4373,4399
2020-11-30,4341,4372
2020-11-29,4294,4340
2020-11-28,4216,4293
2020-11-27,4178,4215
2020-11-26,4104,4177
2020-11-25,4077,4103
2020-11-24,4061,4076
2020-11-23,4045,4060
2020-11-22,4013,4044
2020-11-21,3971,4012
2020-11-20,3931,3970
2020-11-19,3877,3930
2020-11-18,3836,3876
2020-11-17,3812,3835
2020-11-16,3785,3811
2020-11-15,3739,3784
2020-11-14,3712,3738
2020-11-13,3663,3711
2020-11-12,3638,3662
2020-11-11,3602,3637
2020-11-10,3577,3601
2020-11-09,3559,3576
2020-11-08,3529,3558
2020-11-07,3497,3528
2020-11-06,3476,3496
2020-11-05,3449,3475
2020-11-04,3433,3448
2020-11-03,3414,3432
2020-11-02,3401,3413
2020-11-01,3374,3400
2020-10-31,3342,3373
2020-10-30,3315,3341
2020-10-29,3283,3314
2020-10-28,3254,3282
2020-10-27,3231,3253
2020-10-26,3202,3230
2020-10-25,3171,3201
2020-10-24,3131,3170
2020-10-23,3085,3130
2020-10-22,3047,3084
2020-10-21,3010,3046
2020-10-20,2989,3009
2020-10-19,2953,2988
2020-10-18,2924,2952
2020-10-17,2890,2923
2020-10-16,2860,2889
2020-10-15,2821,2859
2020-10-14,2801,2820
2020-10-13,2786,2800
2020-10-12,2772,2785
2020-10-11,2761,2771
2020-10-10,2741,2760
2020-10-09,2713,2740
2020-10-08,2687,2712
2020-10-07,2660,2686
2020-10-06,2638,2659
2020-10-05,2619,2637
2020-10-04,2599,2618
2020-10-03,2570,2598
2020-10-02,2545,2569
2020-10-01,2515,2544
2020-09-30,2489,2514
2020-09-29,2470,2488
2020-09-28,2456,2469
2020-09-27,2436,2455
2020-09-26,2416,2435
2020-09-25,2409,2415
2020-09-24,2403,2408
2020-09-23,2390,2402
2020-09-22,2384,2389
2020-09-21,2377,2383
2020-09-20,2362,2376
2020-09-19,2346,2361
2020-09-18,2334,2345
2020-09-17,2328,2333
2020-09-16,2320,2327
