opendate,first_case,last_case
2020-09-15,2316,2319
2020-09-14,2312,2315
2020-09-13,2302,2311
2020-09-12,2291,2301
2020-09-11,2281,2290
2020-09-10,2265,2280
2020-09-09,2257,2264
2020-09-08,2248,2256
2020-09-07,2229,2247
2020-09-05,2209,2228
2020-09-04,2181,2208
2020-09-03,2161,2180
2020-09-02,2147,2160
2020-08-31,2124,2146
2020-08-30,2091,2123
2020-08-29,2060,2090
2020-08-28,2017,2059
2020-08-27,1981,2016
2020-08-26,1947,1980
2020-08-25,1915,1946
2020-08-24,1893,1914
2020-08-23,1868,1892
2020-08-22,1837,1867
2020-08-21,1807,1836
2020-08-20,1762,1806
2020-08-19,1691,1761
2020-08-18,1658,1690
2020-08-17,1620,1657
2020-08-16,1560,1619
2020-08-15,1512,1559
2020-08-14,1406,1511
2020-08-13,1309,1405
2020-08-12,1244,1308
2020-08-11,1180,1243
2020-08-10,1129,1179
2020-08-09,970,1128
2020-08-08,886,969
2020-08-07,786,885
2020-08-06,713,785
2020-08-05,639,715
2020-08-04,556,638
2020-08-03,519,555
2020-08-02,455,518
2020-08-01,397,454
2020-07-31,326,396
2020-07-30,277,325
2020-07-29,233,276
2020-07-28,212,232
2020-07-27,194,211
2020-07-26,188,193
2020-07-25,174,187
2020-07-24,164,173
2020-07-23,159,163
2020-07-22,157,158
2020-07-21,155,156
2020-07-20,153,154
2020-07-19,151,152
2020-07-16,150,150
2020-07-11,148,149
2020-07-10,147,147
2020-07-09,146,146
2020-07-08,144,145
2020-04-30,143,143
2020-04-28,139,142
2020-04-26,136,138
2020-04-25,135,135
2020-04-24,134,134
2020-04-23,132,133
2020-04-22,127,131
2020-04-21,123,126
2020-04-20,117,122
2020-04-19,112,116
2020-04-18,103,111
2020-04-17,96,102
2020-04-16,88,95
2020-04-15,78,87
2020-04-14,74,77
2020-04-13,67,73
2020-04-12,58,66
2020-04-11,50,57
2020-04-10,43,49
2020-04-09,40,42
2020-04-08,35,39
2020-04-07,23,34
2020-04-06,17,22
2020-04-04,12,16
2020-04-03,10,11
2020-03-30,9,9
2020-03-28,7,8
2020-03-26,6,6
2020-03-24,5,5
2020-03-23,4,4
2020-02-20,3,3
2020-02-19,2,2
2020-02-14,1,1
